City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Cristobal,VE,2022-05-03 19:51:58,7.7669,-72.225,87.98,44,20,7.65
68,Nikolskoye,RU,2022-05-03 19:51:59,59.7035,30.7861,39.7,65,24,8.52
69,Muriti,TZ,2022-05-03 19:51:59,-1.9833,32.9167,72.99,75,92,9.84
70,San Patricio,US,2022-05-03 19:52:00,28.017,-97.5169,84.83,68,100,15.77
71,Comodoro Rivadavia,AR,2022-05-03 19:50:01,-45.8667,-67.5,71.46,30,0,34.52
72,Saint-Pierre,RE,2022-05-03 19:52:00,-21.3393,55.4781,71.28,73,0,6.91
73,Susanville,US,2022-05-03 19:52:01,40.4163,-120.653,59.67,40,0,3.44
74,Santiago Del Estero,AR,2022-05-03 19:52:01,-27.7951,-64.2615,70.74,31,0,3.33
75,Jamestown,US,2022-05-03 19:52:02,42.097,-79.2353,62.24,78,100,10.0
76,Kiunga,PG,2022-05-03 19:52:02,-6.1219,141.2906,73.18,100,100,1.72
77,Santa Maria,BR,2022-05-03 19:52:03,-29.6842,-53.8069,58.3,100,100,5.75
78,Cabo San Lucas,MX,2022-05-03 19:52:03,22.8909,-109.9124,83.61,57,28,9.44
79,Fortuna,US,2022-05-03 19:52:04,40.5982,-124.1573,61.86,65,0,12.66
80,Ojuelos De Jalisco,MX,2022-05-03 19:52:04,21.8667,-101.5833,82.92,8,84,11.41
81,Alenquer,BR,2022-05-03 19:52:05,-1.9417,-54.7383,82.71,77,39,2.06
82,Castro,BR,2022-05-03 19:52:05,-24.7911,-50.0119,63.91,90,100,8.23
83,Shimoda,JP,2022-05-03 19:52:06,34.6667,138.95,50.11,64,0,9.08
84,Sitio Novo Do Tocantins,BR,2022-05-03 19:52:06,-5.5183,-47.4611,89.53,66,20,3.44
85,Makakilo City,US,2022-05-03 19:52:07,21.3469,-158.0858,73.72,77,100,9.22
86,Porto Santo,PT,2022-05-03 19:52:08,33.072,-16.3415,62.98,67,40,12.66
87,Bredasdorp,ZA,2022-05-03 19:52:08,-34.5322,20.0403,60.91,97,3,1.5
88,Tuktoyaktuk,CA,2022-05-03 19:52:08,69.4541,-133.0374,23.0,100,100,11.5
89,Coquimbo,CL,2022-05-03 19:52:09,-29.9533,-71.3436,58.73,82,20,10.36
90,Puerto Ayora,EC,2022-05-03 19:53:10,-0.7393,-90.3518,80.56,78,81,9.82
91,Paragould,US,2022-05-03 19:53:11,36.0584,-90.4973,73.18,77,100,11.7
92,Alegrete,BR,2022-05-03 19:53:11,-29.7831,-55.7919,53.94,95,100,17.27
93,Airai,TL,2022-05-03 19:48:45,-8.9266,125.4092,59.94,92,52,2.73
94,Sao Jose Da Coroa Grande,BR,2022-05-03 19:53:12,-8.8978,-35.1478,79.84,86,27,8.41
95,Naberera,TZ,2022-05-03 19:53:13,-4.2,36.9333,60.12,88,100,9.75
96,Kaka,TM,2022-05-03 19:53:13,37.3482,59.6143,62.62,72,6,2.06
97,Longyearbyen,SJ,2022-05-03 19:53:14,78.2186,15.6401,13.84,62,75,13.8
98,Cherskiy,RU,2022-05-03 19:48:40,68.75,161.3,32.7,81,91,13.27
99,Haines Junction,CA,2022-05-03 19:53:14,60.7522,-137.5108,44.55,49,93,8.05
100,San Jose,US,2022-05-03 19:50:19,37.3394,-121.895,77.38,29,0,14.97
