City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Matara,LK,76.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
237,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
239,Afua,BR,80.4,moderate rain,-0.1567,-50.3867,Hotel Dias
241,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
244,Bani Walid,LY,78.15,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
246,Nisia Floresta,BR,82.78,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
247,Labuhan,ID,79.34,scattered clouds,-6.8844,112.2051,DoubleFAG
254,Tabou,CI,79.65,few clouds,4.423,-7.3528,hotêl doufoulougou
255,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
256,Bambanglipuro,ID,75.63,scattered clouds,-7.95,110.2833,Puri Brata
259,Tingo Maria,PE,84.51,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
260,Redlands,US,87.55,haze,34.0556,-117.1825,Dynasty Suites Redlands
263,Puerto Ayacucho,VE,83.7,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
264,Ler,SS,77.25,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
268,Puerto Escondido,MX,77.83,light intensity drizzle,15.85,-97.0667,Aldea del Bazar Hotel and Spa
270,Ternate,ID,77.13,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
274,Veraval,IN,82.27,overcast clouds,20.9,70.3667,Lords Inn Somnath
279,Sorong,ID,77.88,broken clouds,-0.8833,131.25,Waigo Splash Hotel
281,Jibuti,DJ,82.96,clear sky,11.5,42.5,Orchid Main Camp Goubet
282,Todos Santos,MX,75.4,few clouds,23.45,-110.2167,Hotel California Todos Santos
286,Dingle,PH,76.64,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
288,Karratha,AU,75.02,light rain,-20.7377,116.8463,ibis Styles Karratha
289,Santiago De Puringla,HN,76.77,overcast clouds,14.3585,-87.9032,Infinito puringla
291,Palu,ID,77.34,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
292,Turayf,SA,86.25,scattered clouds,31.6725,38.6637,Turaif
294,Gigmoto,PH,80.47,few clouds,13.7796,124.39,Cj's Travellers Inn
297,Pochutla,MX,78.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
301,Cuencame,MX,88.41,clear sky,24.8711,-103.6964,HOTEL RICOME
305,Chake Chake,TZ,76.96,clear sky,-5.2459,39.7666,Hotel Archipelago
306,Estelle,US,87.01,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
311,Awbari,LY,86.05,clear sky,26.5921,12.7805,فندق أوباري
